,Unnamed: 0,Ticker,Entry Time,Entry Price,Exit Time,Exit Price,P/L,ROR,Cumulative ROR,Peak ROR,Drawdown
11,12,BANKNIFTY16JUL2021100CE,16-07-2020 09:29,135.8,16-07-2020 09:48,244.95,109.14999999999998,160751.1045655375,99633.83720797766,99633.83720797766,0.0
12,13,BANKNIFTY16JUL2021100PE,16-07-2020 09:29,148.95,16-07-2020 09:48,72.6,-76.35,-102517.62336354482,-2883.786155567155,99633.83720797766,-102517.62336354482
13,14,BANKNIFTY23JUL2021700CE,17-07-2020 09:29,447.65,17-07-2020 15:24,582.75,135.10000000000002,60359.65598123535,57475.8698256682,99633.83720797766,-42157.96738230946
14,15,BANKNIFTY23JUL2021700PE,17-07-2020 09:29,406.45,17-07-2020 15:24,246.3,-160.14999999999998,-78804.2809693689,-21328.41114370071,99633.83720797766,-120962.24835167837
15,16,BANKNIFTY23JUL2022300CE,20-07-2020 09:29,412.0,20-07-2020 13:33,306.65,-105.35000000000002,-51140.776699029135,-72469.18784272985,99633.83720797766,-172103.0250507075
16,17,BANKNIFTY23JUL2022300PE,20-07-2020 09:29,363.3,20-07-2020 13:33,388.3,25.0,13762.730525736306,-58706.45731699355,99633.83720797766,-158340.29452497122
17,18,BANKNIFTY23JUL2022600CE,21-07-2020 09:29,346.15,21-07-2020 15:24,388.95,42.80000000000001,24729.163657373978,-33977.293659619565,99633.83720797766,-133611.13086759724
18,19,BANKNIFTY23JUL2022600PE,21-07-2020 09:29,294.0,21-07-2020 15:24,195.5,-98.5,-67006.80272108843,-100984.096380708,99633.83720797766,-200617.93358868564
19,20,BANKNIFTY23JUL2022900CE,22-07-2020 09:29,231.5,22-07-2020 09:36,171.1,-60.400000000000006,-52181.42548596113,-153165.52186666912,99633.83720797766,-252799.35907464678
20,21,BANKNIFTY23JUL2022900PE,22-07-2020 09:29,278.75,22-07-2020 09:36,394.15,115.39999999999998,82798.20627802689,-70367.31558864223,99633.83720797766,-170001.1527966199
21,22,BANKNIFTY23JUL2022800CE,23-07-2020 09:29,169.75,23-07-2020 09:54,132.85,-36.900000000000006,-43475.699558173794,-113843.01514681603,99633.83720797766,-213476.8523547937
22,23,BANKNIFTY23JUL2022800PE,23-07-2020 09:29,123.0,23-07-2020 09:54,127.25,4.25,6910.569105691057,-106932.44604112497,99633.83720797766,-206566.28324910265
23,24,BANKNIFTY30JUL2022700CE,24-07-2020 09:29,426.35,24-07-2020 15:24,353.15,-73.20000000000005,-34337.98522340802,-141270.431264533,99633.83720797766,-240904.26847251065
24,25,BANKNIFTY30JUL2022700PE,24-07-2020 09:29,410.0,24-07-2020 15:24,435.05,25.05000000000001,12219.512195121957,-129050.91906941103,99633.83720797766,-228684.7562773887
